,code,smiley,CLDR,keywords
652,U+1F982,🦂,scorpion,scorpio | Scorpio | scorpion | zodiac
653,U+1F99F,🦟,mosquito,disease | fever | malaria | mosquito | pest | virus
654,U+1FAB0,🪰,fly,disease | fly | maggot | pest | rotting
655,U+1FAB1,🪱,worm,annelid | earthworm | parasite | worm
656,U+1F9A0,🦠,microbe,amoeba | bacteria | microbe | virus
657,U+1F490,💐,bouquet,bouquet | flower
658,U+1F338,🌸,cherry blossom,blossom | cherry | flower
659,U+1F4AE,💮,white flower,flower | white flower
660,U+1FAB7,🪷,lotus,Buddhism | flower | Hinduism | India | lotus | purity | Vietnam
661,U+1F3F5,🏵,rosette,plant | rosette
662,U+1F339,🌹,rose,flower | rose
663,U+1F940,🥀,wilted flower,flower | wilted
664,U+1F33A,🌺,hibiscus,flower | hibiscus
665,U+1F33B,🌻,sunflower,flower | sun | sunflower
666,U+1F33C,🌼,blossom,blossom | flower
667,U+1F337,🌷,tulip,flower | tulip
668,U+1FABB,🪻,⊛ hyacinth,bluebonnet | flower | hyacinth | lavender | lupine | snapdragon
669,U+1F331,🌱,seedling,seedling | young
670,U+1FAB4,🪴,potted plant,boring | grow | house | nurturing | plant | potted plant | useless
671,U+1F332,🌲,evergreen tree,evergreen tree | tree
672,U+1F333,🌳,deciduous tree,deciduous | shedding | tree
673,U+1F334,🌴,palm tree,palm | tree
674,U+1F335,🌵,cactus,cactus | plant
675,U+1F33E,🌾,sheaf of rice,ear | grain | rice | sheaf of rice
676,U+1F33F,🌿,herb,herb | leaf
677,U+2618,☘,shamrock,plant | shamrock
678,U+1F340,🍀,four leaf clover,4 | clover | four | four-leaf clover | leaf
679,U+1F341,🍁,maple leaf,falling | leaf | maple
680,U+1F342,🍂,fallen leaf,fallen leaf | falling | leaf
681,U+1F343,🍃,leaf fluttering in wind,blow | flutter | leaf | leaf fluttering in wind | wind
682,U+1FAB9,🪹,empty nest,empty nest | nesting
683,U+1FABA,🪺,nest with eggs,nest with eggs | nesting
